"Value Research Online"
"Date: 29-Jan-2016 15:19"
"Company","Sector","Industry","Price","PriceDate","1-Day Chg. (%)","52-Week High","52-Week Low","P/E","P/B","Enterprise Value (Cr)","Market Cap (Cr)"
"A.F. Enterprises Ltd.","Financial","Invest.Services","46.95","Jan 29, 14:49","-1.98","648","47.9","507.57","6.54","18.56","18.78"
"A2Z Infra Engineering Ltd.","Engineering","Electronic Equipts.","23.4","Jan 29, 15:09","1.96","32.9","12","0","0.37","1796.15","293.59"
"Aadhaar Ventures India Ltd.","Financial","Equipt.Leasing","0.12","Jan 29, 14:45","0","0.25","0.07","78.55","0.05","18.79","18.85"
"Aadi Industries Ltd","Financial","Hire Purchase","3.17","Jan 29, 13:45","0","6.5","2.08","3.25","0.3","16.17","3.17"
"Aananda Lakshmi Spinning Mills Ltd.","Textiles","Textile Processing","8.12","Jan 28, 2016","-4.92","19.5","5.88","0","0.64","37.08","2.84"
"Aanchal Ispat Ltd.","Metals","Stainless Steel","7.3","Jan 14, 2016","-10.87","16.8","5.53","39.46","0.39","38.51","15.22"
"Aarey Drugs & Pharmaceuticals Ltd.","Healthcare","Drugs & Pharma","24","Jan 29, 15:12","-4.19","33.4","11.27","32.04","1.14","52.21","41.36"
"Aarti Drugs Ltd.","Healthcare","Drugs & Pharma","525.45","Jan 29, 15:07","-0.5","874.9","467.5","17.11","3.85","1713.3","1268.98"
"Aarti Industries Ltd.","Chemicals","Organic Chemicals","492.5","Jan 29, 15:09","0.52","587","267","18.95","4.15","5295.4","4126.86"
"Aarvee Denims & Exports Ltd.","Textiles","Cloth","55.55","Jan 29, 15:09","8.5","79.95","38","51.1","0.48","487.36","125.04"
"Aarya Global Shares and Securities Ltd.","Textiles","Woollen Textiles","1.8","Jan 29, 15:09","-0.55","44.29","1.66","2.9","0.11","8.58","3.88"
"Aashee Infotech Ltd.","Technology","Computer Hardware","1.85","Dec 24, 2015","4.52","1.85","1.47","5.15","0.41","0.64","0.69"
"Aayush Food & Herbs Ltd.","FMCG","Personal Care","24.55","Jan 21, 2016","0","24.55","12.5","0","1.95","7.85","7.97"
"Aban Offshore Ltd.","Energy","Offshore Drilling","190.85","Jan 29, 15:09","1.87","519.9","175.7","2.2","0.19","15050.58","1106.31"
"ABB Ltd.","Engineering","Switching Equipment","971.95","Jan 29, 15:09","0.31","1526.3","955.2","80.97","6.93","20763.71","20618.68"
"Abbott India Ltd.","Healthcare","Drugs & Pharma","5036.95","Jan 29, 15:09","-0.81","6177.7","3708.5","44.31","10.15","10193.25","10837.14"
"ABC Bearings Ltd.","Engineering","Ball Bearings","101","Jan 29, 15:12","8.6","168.4","90","27.51","0.91","200.53","115.5"
"ABC Gas (International) Ltd.","Metals","Other Non-Ferrous Metal","19.9","Jan 29, 15:02","-4.33","37.15","13.65","34.87","1.7","5.55","3.94"
"ABC India Ltd.","Services","Road Transport","91","Jan 28, 2016","-0.87","148.3","76.8","25.81","1.06","85.38","49.3"
